web_scraper_order,web_scraper_start_url,Noms,Prix,adresse,image
"1771982494-1","https://sn.coinafrique.com/categorie/moutons?page=9","Mouton","350 000CFA","Touba, Sénégal","https://images.coinafrique.com/thumb_3165517_uploaded_image1_1623360217.jpg"
"1771982494-2","https://sn.coinafrique.com/categorie/moutons?page=9","Mouton","155CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3165428_uploaded_image1_1623355687.jpg"
"1771982494-3","https://sn.coinafrique.com/categorie/moutons?page=9","Moutons","180CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_3162820_uploaded_image1_1623248972.jpg"
"1771982494-4","https://sn.coinafrique.com/categorie/moutons?page=9","Mouton","250CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3161527_uploaded_image1_1623190582.jpg"
"1771982494-5","https://sn.coinafrique.com/categorie/moutons?page=9","Mouton","200 000CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_3160150_uploaded_image1_1623151030.jpg"
"1771982494-6","https://sn.coinafrique.com/categorie/moutons?page=9","Mouton","200CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3154407_uploaded_image1_1622885132.jpg"
"1771982494-7","https://sn.coinafrique.com/categorie/moutons?page=9","Mouton ladoum","1 000 000CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3153877_uploaded_image1_1622844697.jpg"
"1771982494-8","https://sn.coinafrique.com/categorie/moutons?page=9","Mouton","250 000CFA","Gassane, Sénégal","https://images.coinafrique.com/thumb_3153454_uploaded_image1_1622828388.jpg"
"1771982494-9","https://sn.coinafrique.com/categorie/moutons?page=9","Mouton","250 000CFA","Touba, Sénégal","https://images.coinafrique.com/thumb_3153449_uploaded_image1_1622828161.jpg"
"1771982494-10","https://sn.coinafrique.com/categorie/moutons?page=9","Mouton","210 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3151931_uploaded_image1_1622767626.jpg"
"1771982494-11","https://sn.coinafrique.com/categorie/moutons?page=9","Mouton","700 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3145912_uploaded_image2_1622569835.jpeg"
"1771982494-12","https://sn.coinafrique.com/categorie/moutons?page=9","Mouton Ladoum","500 000CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_3145480_uploaded_image1_1622560253.jpg"
"1771982494-13","https://sn.coinafrique.com/categorie/moutons?page=9","Mouton Ladoum","600 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_3144633_uploaded_image1_1622546332.jpg"
"1771982494-14","https://sn.coinafrique.com/categorie/moutons?page=9","Male Ladoum","450 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3143502_uploaded_image1_1622507497.jpg"
"1771982494-15","https://sn.coinafrique.com/categorie/moutons?page=9","Femelle Ladoum","350 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3143495_uploaded_image1_1622507267.jpg"
"1771982494-16","https://sn.coinafrique.com/categorie/moutons?page=9","Mouton","120 000CFA","Kaolack, Sénégal","https://images.coinafrique.com/thumb_3141522_uploaded_image1_1622402197.jpg"
"1771982494-17","https://sn.coinafrique.com/categorie/moutons?page=9","Mouton","270 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3141152_uploaded_image1_1622385589.jpg"
"1771982494-18","https://sn.coinafrique.com/categorie/moutons?page=9","Mouton mâle ladoum","750 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3139166_uploaded_image1_1622241816.jpg"
